No.,Bout ID,Boxer,Date,Venue,ID,WeeklyID,lnRPurse,RPurse,Purse,RichA,Losers,DOB,Age,,weight,,RDS,TFights,Wins,KO,Losses,L-KO,Draws,OTFights,OWins,OKO,,OLosses,OL-KO,ODraws,,,,,NeverKO,ORecentKO,ORecentKOsq,Debut,ODebut,WinPerDiff,Rematch,Unify,W-Title,T-Belt,R-Title,R-Belt,Eliminator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,10,"Del Real, Gabriel",2009.01.23,Plaza Hotel,526,2,7.57405413,1947.017766,1700,0,0,86.07.25,22.5,,147.5,,4,1,1,1,0,0,0,5,3,1,,2,1,0,,,,,0,5,25,0,0,40,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,11,"Smith, Lonnie M.",2009.01.23,Plaza Hotel,2176,2,7.043425879,1145.304569,1000,0,0,87.03.03,21.83333333,,133,,4,9,5,4,2,1,2,9,4,0,,3,0,2,,,,,1,0,0,0,0,11.11111111,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,12,"Liles, Patrick M.",2009.01.30,Orleans Hotel,1227,3,7.448890987,1717.956853,1500,0,0,78.04.01,30.75,,189,,6,8,7,7,0,0,1,12,8,2,,4,2,0,,,,,0,9,81,0,0,20.83333333,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,12,"Barragan, Victor",2009.01.30,Orleans Hotel,162,3,7.631212544,2061.548223,1800,0,0,81.09.11,27.33333333,,199,,6,12,8,2,4,2,0,8,7,7,,0,0,1,,,,,0,2,4,0,0,-20.83333333,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,13,"McCall, Elijah K.",2009.01.30,Orleans Hotel,1424,3,7.043425879,1145.304569,1000,0,0,88.03.03,20.83333333,,228,,4,1,1,1,0,0,0,4,2,1,,1,0,1,,,,,0,1,1,0,0,50,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,13,"Banks, Yohan A.",2009.01.30,Orleans Hotel,151,3,7.043425879,1145.304569,1000,0,1,75.05.09,33.66666667,,268,,4,4,2,1,1,0,1,1,1,1,,0,0,0,,,,,0,1,1,0,0,-50,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,14,"Battease, Brian D.",2009.01.30,Orleans Hotel,179,3,7.043425879,1145.304569,1000,0,0,83.09.11,25.33333333,,123,,4,3,3,1,0,0,0,1,1,1,,0,0,0,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,14,"Ramos, Hugo",2009.01.30,Orleans Hotel,1853,3,7.043425879,1145.304569,1000,0,0,90.03.01,18.83333333,,122,,4,1,1,1,0,0,0,3,3,1,,0,0,0,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,15,"Namauu, Henry CJ",2009.01.30,Orleans Hotel,1601,3,7.043425879,1145.304569,1000,0,1,84.09.04,24.33333333,,209,,4,4,2,1,2,2,0,2,1,1,,1,0,0,,,,,0,2,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,16,"Scott, DeMark J.",2009.01.30,Orleans Hotel,2109,3,7.043425879,1145.304569,1000,0,1,81.04.29,27.75,,176,,4,4,1,1,2,1,1,6,2,2,,3,3,1,,,,,0,3,9,0,0,-8.333333333,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
